Timestamp,gender,edu_level,study_time,study_method,tech_use,best_time,break_freq,prep_method,sleep_time,exercise,diet,focus,phone_use,env,sm_use,gpa_year,gpa_semester
4/4/2025 10:23:03,Male,University,2-4 hours,Online learning,Yes,Evening,10-15 min/hour,1-2 weeks before,6-8 hours,5+ times,"Special diet (Vegan, Keto, etc.)",Yes,Yes,Silent,< 15 min/hour,8.5,8.0
4/4/2025 10:27:07,Male,University,2-4 hours,"Self-study, Group study, Tutoring",Yes,Late night,10-15 min/hour,1-2 weeks before,4-6 hours,3-4 times,No specific diet,Yes,Yes,Soft background music,< 15 min/hour,8.5,8.5
4/4/2025 10:28:45,Female,University,2-4 hours,Self-study,Yes,Evening,10-15 min/hour,1-2 weeks before,6-8 hours,1-2 times,"Special diet (Vegan, Keto, etc.)",Yes,Yes,Silent,< 15 min/hour,5.0,6.0
4/4/2025 10:29:47,Female,University,> 4 hours,Self-study,Yes,Late night,15+ min/hour,1-2 weeks before,6-8 hours,Never,No specific diet,Yes,Yes,Soft background music,> 30 min/hour,7.0,7.0
4/4/2025 10:30:17,Female,University,2-4 hours,Self-study,Yes,Late night,5 min/hour,1-2 weeks before,> 8 hours,1-2 times,No specific diet,Yes,Yes,Silent,< 15 min/hour,3.3,3.3
4/4/2025 10:30:28,Female,University,> 4 hours,"Self-study, Group study, Tutoring, Online learning",Yes,Afternoon,15+ min/hour,> 2 weeks before,4-6 hours,Never,"Special diet (Vegan, Keto, etc.)",Yes,Yes,Silent,Never,9.0,9.0
4/4/2025 10:32:19,Male,Middle school,> 4 hours,"Self-study, Group study, Tutoring, Online learning",No,Late night,15+ min/hour,> 2 weeks before,4-6 hours,Never,"Special diet (Vegan, Keto, etc.)",Yes,No,Soft background music,Never,6.2,6.2
4/4/2025 10:34:28,Male,University,2-4 hours,Group study,Yes,Evening,10-15 min/hour,1-2 weeks before,6-8 hours,5+ times,Balanced diet,Yes,Yes,Silent,15-30 min/hour,8.0,8.5
4/4/2025 10:34:38,Male,University,2-4 hours,Self-study,Yes,Evening,10-15 min/hour,1-2 weeks before,> 8 hours,3-4 times,No specific diet,Yes,Yes,Soft background music,< 15 min/hour,8.3,8.3
4/4/2025 10:34:49,Male,University,2-4 hours,Self-study,Yes,Late night,10-15 min/hour,1-2 weeks before,4-6 hours,Never,No specific diet,Yes,Yes,Silent,< 15 min/hour,9.0,8.5
4/4/2025 10:39:18,Female,University,2-4 hours,"Self-study, Group study, Tutoring",Yes,Late night,5 min/hour,1-2 weeks before,6-8 hours,1-2 times,No specific diet,Yes,Yes,"Noisy (cafe, crowded library, etc.)",15-30 min/hour,8.0,7.0
4/4/2025 10:40:57,Male,University,> 4 hours,"Self-study, Group study, Tutoring, Online learning",Yes,Morning,Almost no breaks,> 2 weeks before,4-6 hours,Never,No specific diet,Yes,Yes,Silent,> 30 min/hour,8.0,8.0
4/4/2025 10:44:14,Male,University,2-4 hours,"Self-study, Online learning",Yes,Late night,10-15 min/hour,1-2 weeks before,4-6 hours,1-2 times,No specific diet,No,No,Soft background music,Never,6.5,6.5
